ssvid,shipname_norm,imo,callsign,vessel_class,flag,length_m,tonnage_gt,engine_power,hours,fishing_hours,hours_HS,fishing_hours_HS,gfw_owner,gfw_owner_address,gfw_owner_flag
416002443,YULONG10,NA,NA,drifting_longlines,TWN,31.7,158.29,762.35,4208,3113.53,3671.84,3112.3,LIN TENG SHAN,"NO.19, LN. 63, ANYU RD., DONGGANG TOWNSHIP, PINGTUNG COUNTY 92845, TAIWAN",TWN
412420409,JINHAI777,NA,BZUG8,squid_jigger,CHN,44.96,471,800,2781.74,654.84,2285.01,654.84,ZHOUSHAN JINHAI DEEP SEA,"ROOMS 1108 & 1109, 82, CHANGZHENG LU, DONGGANG JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
412985000,XINSHIJI7,8651233,BZUS5,drifting_longlines,CHN,50.55,497,895.2,8076.3,4537.11,7276.77,4536.86,ZHEJIANG OCEAN FISHERIES GROUP,"11, QINGCHUN LU, SHANGCHENG QU, HANGZHOU, ZHEJIANG, CHINA.",CHN
412421139,ZHOUYU909,NA,NA,squid_jigger,CHN,57.84,518.03,1461.97,3041.73,597.92,2765.97,597.92,CHINA AQUATIC PRODUCTS,"1, XINGHAI LU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
416153500,HUNGCHEN212,8947096,BI2570,drifting_longlines,TWN,56.3,610,1101.01,7677.6,4729.23,5419.16,3440.16,HUNG CHEN FISHERIES,NA,TWN
412420896,XINLONG66,9741621,BZ1VW,drifting_longlines,CHN,42.65,462,750.11,7705.42,4298.82,7078.82,4296.17,ZHEJIANG XINLONG OCEAN FISHERIES,"322, YINQIAO LU, SHAOXING ECO INDL PARK, YUECHENG QU, SHAOXING, ZHEJIANG, CHINA.",CHN
412329635,LUPENGYUANYU18,NA,BZSD3,squid_jigger,CHN,69.9,1408,1912,5753.49,722.8,4007.35,698.9,ZHOUSHAN SHUNHANG OCEAN,"ROOM 2502, TECHNOLOGICAL REAL ESTATE BUILDING, 2121, DONGHAI XILU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, 316000, CHINA.",CHN
416379000,FENGYA11,8947266,BI2566,drifting_longlines,TWN,55.9,531,791.38,8736.14,6607.2,8561.59,6607.2,LIN CHI PANG,"1F, NO.6, MIN CHUAN 2ND ROAD,CHIEN CHEN DISTRICT,KAOHSIUNG CITY,TAIWAN,R.O.C",TWN
412439617,YONGFA5,NA,BZV5Y,squid_jigger,CHN,69.9,1408,2827.79,4220.75,388.97,2450.59,387.21,NINGBO YONGFA OCEAN FISHERIES,"ROOMS 1604-1606, 18 DIAMOND COMMERCIAL PLAZA, JIANGBEI QU, NINGBO, ZHEJIANG, 315000, CHINA.",CHN
412334078,LURONGYUANYU607,NA,NA,squid_jigger,CHN,48.23,634.7,1129.63,5141.85,1541.83,4890.27,1540.81,RONGCHENG HOMEY OCEAN FISHING,"SHAZUIZI, HUSHANZHEN, RONGCHENG, SHANGDONG, CHINA.",CHN
226169000,CAPSAINTVINCENT,9225536,FIPP,tuna_purse_seines,FRA,66.4,1419.66,2950,4348.04,703.62,2292.91,493.15,COMPAGNIE FRANCAISE DU THON OCEANIQUE,"9, RUE DU PROFESSEUR LEGENDRE 29900 CONCARNEAU",FRA
412420799,HUAYING209,8776605,BZ6VR,squid_jigger,CHN,57.73,731,764.16,8428.3,2231.88,7339.26,2229.55,ZHOUSHAN HUAYING OCEAN,"ROOM 1102, ZOUSHAN SCIENCE & TECHNOLOGY BLDG, 2121, DONGHAI XILU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
412206008,LIAOYU5,NA,BAMB,squid_jigger,CHN,59.82,921,971,4835.67,625.27,3861.66,624.06,LIAO YU GROUP,"DALIANWANZHEN, GANJINGZI QU, DALIAN, LIAONING, CHINA.",CHN
500800007,CT4500807,NA,NA,drifting_longlines,NA,27.6,89.27,417.47,2349.09,1671.1,2277.36,1671.1,NA,NA,NA
431799000,FUKUYOSHIMARU68,NA,7LJM,trawlers,JPN,63.48,491.75,1445.03,6801.31,4095.56,4753.55,4031.49,KATO,"2-13-25,MINATO-MACHI,SHIOGAMA-SHI,MIYAGI,JAPAN",JPN
416244800,PEIYUH18,NA,BI2613,squid_jigger,TWN,72.8,987,1752.02,7578.07,1554.97,4467.21,927.24,PEI YUH FISHERIES,"7TH FLOOR, 87, HOUPING ROAD, QIANZHEN DISTRICT, KAOHSIUNG CITY, 80666, CHINA, REPUBLIC OF (TAIWAN)",TWN
533333003,KHAYANG3,NA,NA,drifting_longlines,MYS,28.06,91.11,600.53,7297.52,5963.2,6238.83,5188.06,NA,NA,NA
432402000,KAISHINMARU18,9020883,8KIT,drifting_longlines,JPN,49.98,471.97,740.13,4469.98,2868.71,3997.81,2868.71,OCEAN FISHERIES,"17-17,NIHONBASHI-KODENMACHO,CHUO-KU,TOKYO,JAPAN",JPN
664085000,NFSEAGLORY26,9802906,S7TM,drifting_longlines,SYC,39,296,815.3,6417.07,5008.2,4631.78,3851.24,SEA FORTUNE NEPTUNE FISHERIES,"C/O A. C. T. OFFSHORE LIMITED, 1ST FLOOR OLIAJI TRADE CENTRE, FRANCIS RACHEL STREET, P. O. BOX 1377, VICTORIA, MAHÉ, REPUBLIC OF SEYCHELLES",SYC
533130617,FAJAR6,NA,9MTW2,drifting_longlines,MYS,26.16,83,666.42,4066.11,1899.85,2800.52,1899.85,FAJAR ARENANIAGA SDN BHD,"NO. 2692, JALAN ROZHAN, TAMAN HWA SENG, ALMA, 14000 BUKIT MERTAJAM, PENANG, MALAYSIA",MYS
412333272,LURONGYUANYU525,9831385,NA,squid_jigger,CHN,60.39,1087,1111.59,4607.75,1167.46,4217.88,1145.16,RONGCHENG CHISHAN OCEAN FISH,"66, HUANGHAI ZHONGLU, SHIDAOZHEN, RONGCHENG, SHANGDONG, 264309, CHINA.",CHN
416210600,SINGMANYI6,8777831,BJ4943,drifting_longlines,TWN,26.17,99.55,701.24,3105.75,1909.58,2623.36,1906.87,CHEN HUI CHEN,"NO.62-8, JHONGSHAN RD., LIOUCIOU TOWNSHIP, PINGTUNG COUNTY 92941, TAIWAN",TWN
273534110,LIRA,8607294,UHFP,trawlers,RUS,120.47,7765,8000,8672.51,3255.43,2837.86,2479.96,SEA STAR,"RUSSIA, 236039 KALININGRAD, PR. KALININA, 2",RUS
303835000,MARIAH,8852277,WCX8862,drifting_longlines,USA,21.24,116,359.07,8708.15,4085.32,4089.77,2991.86,VESSEL MANAGEMENT ASSOCIATES,"1133 N NIMITZ HWY, HONOLULU, HI 96817-4522, USA",USA
412672180,ZHOUYU676,NA,BKWK2,squid_jigger,CHN,38.52,474.5,758.92,5065.64,1165.97,4775.69,1165.92,NA,NA,NA
441584000,ORYONG375,9152179,DTBW2,drifting_longlines,KOR,51.68,515.72,743.25,8657.77,6642.79,7523.9,6098.32,SAJO INDUSTRIES,"107-39, TONGIL-RO, SEODAEMUN-GU, SEOUL, REPUBLIC OF KOREA",KOR
416004857,JAIFA8,9766712,BI2652,squid_jigger,TWN,72.62,998,2337.73,4961.85,929.88,2162.73,336.78,JIH SHUN FISHERIES,"150, FODAO ROAD, QIANZHEN DISTRICT, KAOHSIUNG CITY, 80668, CHINA, REPUBLIC OF (TAIWAN)",TWN
416510000,HSIANGCHING,NA,BI2497,squid_jigger,TWN,65.8,973,1342,7766.98,1904.2,4247.98,1080.26,HSIANG CHING MARINE,"3RD FLOOR, 131, XINSHENG ROAD, QIANZHEN DISTRICT, KAOHSIUNG CITY, CHINA, REPUBLIC OF (TAIWAN)",TWN
412500156,GUIYUANYU60002,8656257,BZWZ33,drifting_longlines,CHN,34.13,225,374.5,8250.41,5557.82,866.06,700.49,BEIHAI GOFAR OCEAN FISHERIES,"3, BEIBUWAN ZHONGLU, HAICHENG QU, BEIHAI, GUANGXI, CHINA.",CHN
763059025,HCCTS,NA,NA,drifting_longlines,NA,40.84,75.6,1169.41,1837.37,9.57,549.7,9.15,NA,NA,NA
345080030,ELDORADO,8129539,XCEU8,tuna_purse_seines,MEX,80.92,1793,3380.35,6922.36,1529.41,4090.4,1030.27,AZTECA PESCA,"PUERTO DE MAZATLAN 406, PARQUE IND ALFREDO V. BONFIL, 82050 MAZATLAN, SIN, MEXICO.",MEX
441650000,ORYONG377,9047893,DTBX2,drifting_longlines,KOR,50.46,439.51,743.25,7867.55,4862.45,6963.65,4794.37,SAJO INDUSTRIES,"107-39, TONGIL-RO, SEODAEMUN-GU, SEOUL, REPUBLIC OF KOREA",KOR
441201562,LONGXING601,NA,BZST,drifting_longlines,KOR,50.78,542.87,915.74,5590.16,3399.74,5010.27,3398.79,DALIAN OCEAN FISHING,ZHONGSHAN DISTRICT，DALIAN，CHINA,CHN
412440480,FYYUANYU660,NA,NA,tuna_purse_seines,CHN,59.2,922.4,847.35,6370.13,2139.15,5337.27,2101.9,NA,NA,NA
416032700,HOUCHUN1,8628444,BH3292,drifting_longlines,TWN,52.65,489,895.2,7336.22,3508.96,5669.01,3507.58,JINN CHUN FISHERIES,"RM.319,3F.,NO.3, YUGANG E. 2ND RD.,QIANZHEN DIST., KAOHSIUNG CITY 80672, TAIWAN (R.O.C.)",TWN
664540000,LONGYIELD1,9042752,S7VA,drifting_longlines,SYC,48.03,405,807.87,2236.98,909.04,688.65,376.51,LONGINES FISHERIES,"C/O A. C. T. OFFSHORE LIMITED, 1ST FLOOR OLIAJI TRADE CENTRE, FRANCIS RACHEL STREET, P. O. BOX 1377, VICTORIA, MAHÉ, REPUBLIC OF SEYCHELLES",SYC
416226600,JINGMAN168,NA,BJ4617,drifting_longlines,TWN,27,84.19,447.6,3897.88,2934.92,3612.27,2934.92,HUNG SHENG FU,"XINYUAN TOWNSHIP, PINGTUNG COUNTY, CHINA, REPUBLIC OF (TAIWAN)",TWN
412420915,XINSHIJI210,9775892,BZV1N,drifting_longlines,CHN,42,461,830.79,6272.72,3634.75,5362.65,3624.08,ZHOUSHAN PACIFIC TUNA PELAGIC FISHERIES,1301 FORTUNE & COMMERCIAL BUILDING 185 CAISHI ROAD SHEN JIAMEN ZHOUSHAN CHINA,CHN
416245900,RUEYISHYANG103,9743942,BH3423,drifting_longlines,TWN,38,263,486.17,7415.97,5596.58,6216.03,5593.38,HUNG JIN YU,"NO.1, ALY. 1, LN. 41, YANZHOU RD., XINYUAN TOWNSHIP",TWN
431099000,RYOANMARU87,9823716,7JZU,drifting_longlines,JPN,50.59,963.6,740.5,8735.96,3839.07,6693.08,2950.12,SATO,2-5-40 SHINHAMA-CHO SHIOGAMA-SHI MIYAGI-KEN JAPAN,JPN
416173800,FULLKUOSHENG,8656790,BI2589,drifting_longlines,TWN,59.2,630,903.28,7859.36,3429.04,4741.67,3269.7,JIE SIN FISHERIES,"ROOM 215, YUGANG E 2ND ROAD, QIANZHEN DISTRICT, KAOHSIUNG CITY, CHINA, REPUBLIC OF (TAIWAN)",TWN
412420982,ZHOUYU904,8783414,BZV7W,squid_jigger,CHN,43.45,267,766.86,4830.23,1466.05,4567.43,1465.27,CHINA AQUATIC PRODUCTS,"1, XINGHAI LU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
413322770,LURONGYUANYU30,NA,1715,drifting_longlines,CHN,33.93,191,455.14,8467.3,5978.82,1092.7,1006.91,NA,NA,NA
331119000,POLARPRINCESS,9204609,OYPK,trawlers,DNK,69.61,3787,3793.89,8737.05,4907.48,396.75,272.58,OCEAN GROUP FAROES,NA,FRO
273298600,ARCTICA,8607335,UFBY,trawlers,RUS,106.14,7765,6006.63,8737.77,5280.88,3511.3,2968.2,ARKHANGELSK TRAWL FLEET,"RUSSIA, 163030 ARKHANGELSK, LENINGRADSKIY PR., D. 324",RUS
412421126,HUAYING815,NA,NA,drifting_longlines,CHN,90.08,1947.83,2466.21,1408.24,53.72,1350.1,53.72,ZHOUSHAN HUAYING OCEAN,"ROOM 1102, ZOUSHAN SCIENCE & TECHNOLOGY BLDG, 2121, DONGHAI XILU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
416004411,SHENGITSAI868,NA,BJ5075,drifting_longlines,TWN,23.7,99.6,700.49,4451.25,3479.67,4182.04,3479.67,HUANG CHU PIN,"NO.137-4, SANMIN RD., LIUQIU TOWNSHIP, PINGTUNG COUNTY 92943, TAIWAN",TWN
412697760,ZHOUYUAN608,8786222,BKTF,squid_jigger,CHN,47.46,281,1061.04,1045.01,113.25,949.73,113.2,ZHOUSHAN MINGXIANG MARINE FISH,"4TH FLOOR, 37, PANYANG SHANLU, DINGHAI QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
576848000,HONGAN,8947498,YJSW2,drifting_longlines,VUT,45.6,470,888.6,5754.81,4318.36,5446.83,4318.36,HONG YU FISHERIES,"PORT VILA, VANUATU.",VUT
412331182,LURONGYUANYU393,8779578,BCFH3,squid_jigger,CHN,67.3,1806,1599.29,4692.06,500.52,3941.64,500.52,RONGCHENG HONGSHUN AQUATIC,"RONGCHENG, SHANGDONG, CHINA.",CHN
98335838,XINSHIJI2014,NA,NA,drifting_longlines,NA,45.42,417.21,860.99,2408.8,766.61,2408.8,766.61,NA,NA,NA
416005033,MAANFARN168,9795531,BH3466,drifting_longlines,TWN,39.86,338,934.38,2525.66,1991.3,2486.86,1991.3,FONG JAIN FISHERIES,"1ST FLOOR, 3, YUGANG E 2ND ROAD, QIANZHEN DISTRICT, KAOHSIUNG CITY, CHINA, REPUBLIC OF (TAIWAN)",TWN
412420251,PUYUAN827,8776203,BZ1VB,squid_jigger,CHN,47.18,477,861.25,5073.57,1616.2,4814.68,1616.2,ZHEJIANG DONGZHOU FISHERIES,"SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
273388720,SUNLIGHT,NA,UBCO5,pots_and_traps,RUS,14.06,20,126.27,422.47,184.17,110.8,44.14,NA,NA,NA
263821000,HEMISFERIONORTE,8812069,CUEQ,drifting_longlines,PRT,34,350,588,8152.83,2250.42,6694.42,2235.63,CALAFISH UNIPESSOAL,"AV. PEDRO ALVARES CABRAL, AP. 9,3830-000 GAFANHA DA NAZARÉ PORTUGAL",PRT
316001649,LAPORSCHE,NA,VY9305,set_longlines,CAN,22.66,67,317.05,7245.83,788.23,172.49,107.97,SNOWFALL FISHING,"10485 MAIN ST., DELTA, BC, V4C 2P7, CANADA",CAN
412440152,FUYUANYU876,8685349,BZ5UX,squid_jigger,CHN,55.15,742,896.05,4338.39,408.77,2976.79,408.77,FUJIAN LIANJIANG FARSEA,"BEIJIAOCUN, TAILUZHEN, LIANJIANG XIAN, FUJIAN, CHINA.",CHN
416002135,JHAOFONG268,NA,BJ4696,drifting_longlines,TWN,27,79.68,700.49,8419.85,5539.53,7036.2,5539.53,KUO SAN YU,"20-2, ZHONGHUA ROAD, LIUQIU TOWNSHIP, PINGTUNG COUNTY, CHINA, REPUBLIC OF (TAIWAN)",TWN
412420578,RUNDA605,8777570,BZIVJ,squid_jigger,CHN,55.23,736,965.23,7116.3,1954.01,6519.4,1949.08,ZHOUSHAN RUN DA OCEAN FISH,"ROOM 804, 139, DONGHE LU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
412271470,ZHONGYUANYU17,NA,BZZV6,squid_jigger,CHN,59.99,908,736,7754.85,2147.25,6701.75,2146.87,NA,NA,NA
774559424,CANAIMA,7123485,YYEM,tuna_purse_seines,VEN,56.28,1302.51,2192.99,8262.28,1398.53,4118.28,1054.96,PESQUERA PEZATUN,"CALLE VÍA FERRY MAR LOCAL GALPON VENEPESCA NRO 1 SECTOR EL SALADO CUMANÁ, PUERTO SUCRE PANAMÁ, REP. DE PANAMÁ",VEN
276831000,LENNUK,8619699,ESKT,trawlers,EST,56.2,971,904,6780.91,2711.19,4669.63,2702.03,LOOTUS OU,NA,EST
416000358,JINMAANSHYANG12,NA,BJ4673,drifting_longlines,TWN,26.15,76.36,447.6,7326.77,4715.85,3797.97,3177.28,HORNG SHENG AN,"NO.20,LANE 1, HEPING RD., LIOUCIOU TOWNSHIP, PINGTUNG COUNTY 929, TAIWAN",TWN
576959000,LONGXING905,8430407,YJQE7,drifting_longlines,VUT,55.03,705,888.6,6731.76,5075.38,6349.47,5075.38,LEKO PACIFIC MANAGEMENT,"PORT VILA, VANUATU.",VUT
338013000,FRIESLAND,9310953,WDE6789,tuna_purse_seines,USA,84.24,2326.75,3234.78,2379.01,198.43,634.99,120.55,FRIESLAND FISHING COMPANY,"2535 KETTNER BLVD SUITE 1A2, SAN DIEGO, CA 92101, USA",USA
416000466,HSINGFACHENG10,NA,BJ4464,drifting_longlines,TWN,22.5,53.3,527.42,3585.39,1325.39,1758.23,1324.21,HWANG WEN JIUNN,"NO.133-1, SANMIN RD., LIOUCIOU TOWNSHIP, PINGTUNG COUNTY 929, TAIWAN",TWN
416002194,MINFAYU,NA,NA,drifting_longlines,TWN,26.52,152.11,736.17,2646.4,1258.73,1926.45,1258.27,CHEN CHING CHENG,"NO.31-5, LANE 3, HEPING RD., LIUQIU TOWNSHIP, PINGTUNG COUNTY 92942, TAIWAN (R.O.C.)",TWN
412420288,PUYUAN811,8780254,BZ6AV,squid_jigger,CHN,49.86,491,961.71,8083.8,2805.33,7899.26,2805.33,ZHOUSHAN PUTUO DEEP SEA,"216, BINGANG LU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
412420104,HANYI705,NA,NA,squid_jigger,CHN,42.7,430,634.92,8356.61,3043.16,7989.1,3043.16,NA,NA,NA
263587000,NVOVIRGEMDABARCA,8619687,CUKB8,trawlers,PRT,56.2,966,1879,8188.78,3500.39,5217.96,3485.64,NA,NA,NA
417000352,KAVISHAPUTHA3,NA,NA,drifting_longlines,LKA,18.49,43.62,313.02,2662.84,315.02,2187.13,315.02,NA,NA,NA
412329692,LUQINGYUANYU210,9738404,BZYL2,trawlers,CHN,59.95,1617,1799.65,3878.43,2513.15,3365.81,2478.01,QINGDAO DEEP SEA FISHERIES,NA,CHN
740337000,BEAGLEFI,7813119,ZDLZ,trawlers,FLK,81.11,2849,3062.97,5911.99,2506.3,922.63,331.8,BEAGLE FISHING,NA,FLK
200006639,NA,NA,BBIR1,squid_jigger,CHN,71.45,1593,2100,4337.88,46.93,1016.81,27.48,RONGCHENG LIANHAI FISHERIES,"SHIDAO INDUSTRIAL PARK, 99, LONGYUE LU, SHIDAOZHEN, RONGCHENG, SHANGDONG, CHINA.",CHN
367719270,GOLDENPHOENIX,8940531,WDI6495,drifting_longlines,USA,25.09,128.5,500.57,7167.24,4318.71,3411.52,2978.59,D L FISHING,"94-101, KAAKA PLACE, WAIPAHU HI 96797-4543, USA.",USA
316001956,SEAGEM,8828056,VB5385,drifting_longlines,CAN,24.51,102,471.91,7745.41,645.5,68.48,67.06,GARY DALEY,NA,CAN
416004204,RUEYISHYANG102,8749482,BG3691,drifting_longlines,TWN,36,196,605.04,7500.49,5424.72,7107.55,5369.8,JENG ROEI LONG,"NO.26, XINGZHONG S. 5TH ST., DONGGANG TOWNSHIP, PINGTUNG COUNTY 92841, TAIWAN (R.O.C.)",TWN
416002659,SHUNFENG,8780876,BJ4860,drifting_longlines,TWN,29.7,99,746,7031.81,4559.45,3230.65,1526.38,DENG LI MIN,"NO.79, LN.100, SEC.1, ZHONGZHENG RD., DONGGANG TOWNSHIP, PINGTUNG COUNTY, TAIWAN (R.O.C.)",TWN
416002662,LONGWANGCHIN,NA,BJ4849,drifting_longlines,TWN,29.28,98,447.6,3902.16,2761.32,3757.98,2761.32,CHENG AN CHI,"NO.10, MINSHENG RD., LIUQIU TOWNSHIP, PINGTUNG COUNTY 92941, TAIWAN (R.O.C.)",TWN
366135000,CAPTAINJ3,8940311,WDD9332,drifting_longlines,USA,24.69,124,401.04,7124.96,3887.69,3428.42,2010.78,NGUYEN J3,"PO BOX 148, AIEA, HI 96701-0148, USA",USA
224770000,PLAYAPESMAR2,9306598,ECCI,trawlers,ESP,71,1484.1,1789.71,2120.69,815.22,1286.16,798.81,MARINENSES PESQUERIAS,NA,ESP
412672060,ZHOUYU687,8783232,BKUJ,squid_jigger,CHN,38.5,277,733.43,5169.85,1299.13,4871.57,1299.13,CHINA AQUATIC PRODUCTS,"1, XINGHAI LU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
367603420,SEADRAGON,8852394,WDH3012,drifting_longlines,USA,21.95,96.33,373,6365.37,3468.45,3948.24,2877.67,BB BAY,"PO BOX 295, AIEA, HI 96701-0295, USA",USA
730016000,MIC,7303982,HJCW,tuna_purse_seines,COL,62.07,1428,2685.6,7636.66,1923.97,6227.35,1920.46,NA,NA,NA
416248800,CHANGCHUN101,NA,BI2658,squid_jigger,TWN,72.62,998,1908.74,5697.51,1028.57,3181.09,509.92,HSING FU FA FISHERIES,"19, YUGANG S 1ST ROAD, QIANZHEN DISTRICT, KAOHSIUNG CITY, CHINA, REPUBLIC OF (TAIWAN)",TWN
416000141,HORNGYIHFWU168,NA,BJ4551,drifting_longlines,TWN,27.6,88.06,335.7,5924.07,4096.43,5298.46,4086.68,HONG JYH YONG,"NO.13, LN. 233, SEC. 2, WUJIE RD., WUJIE TOWNSHIP, YILAN COUNTY 268, TAIWAN",TWN
412420977,HANYI611,NA,BZV4W,squid_jigger,CHN,52.3,667,1000,8735.34,2846.08,8169.51,2845.23,ZHOUSHAN HANYI DEEP SEA,"ROOM 902, 185, CAISHI LU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
273351040,OSTROVNOY5,9183685,UIRD,trawlers,RUS,51.85,635.33,1029,5926.59,1368.05,1113.52,233.74,OSTROVNOY RYBOKOMBINAT,"RUSSIA, 694520 SAKHALINSKAYA OBL., YUZHNO-KURILSKIY R-ON, S. MALOKURILSKOE, UL. SOVETSKAYA, D. 8",RUS
412371205,HUSHUNYU8,NA,BZU4M,squid_jigger,CHN,65.1,1253,1324,7541,1910.38,6166.79,1887.57,SHANGHAI HESHUN FISHERIES,"ROOM A, BUILIDNG 1, 1758, LUCHAOGANG LU, PUDONG XINQU, SHANGHAI, CHINA.",CHN
431001322,MIAMARU58,NA,NA,drifting_longlines,JPN,25.61,169.39,530.84,4679.41,1914.14,2008.04,1075.27,NA,NA,NA
431000254,TERUMARU11,NA,NA,drifting_longlines,JPN,26.48,161.92,640.53,7134.95,3389.32,4807.48,3243.04,NA,NA,NA
111451313,111451313,NA,NA,drifting_longlines,NA,33.67,226.15,506.17,2412.68,1118.37,2412.68,1118.37,NA,NA,NA
416018500,JIHDA6,NA,BI2499,squid_jigger,TWN,66.7,949,1756.3,5334.71,865.88,2474.71,305.48,WA IY OCEN ENTERPRISE,"2ND FLOOR, 67, TIANHOU STREET, QIANZHEN DISTRICT, KAOHSIUNG CITY, CHINA, REPUBLIC OF (TAIWAN)",TWN
431702230,SEIFUKUMARU68,9036765,JRQF,drifting_longlines,JPN,50.8,361.22,621.32,5261.19,1575.85,4580.52,1570.91,HAMADA UBU,2-3-2 ATAGO MIYAKO-SHI IWATE JAPAN,JPN
416174900,CHUNI218,8746959,BI2196,drifting_longlines,TWN,54.2,712.34,895.2,7804.64,2985.09,6637.67,2985.09,SUNG WENG MARINE PRODUCTS,"ROOM 307, 3RD FLOOR, 3, YUGANG E 2ND ROAD, QIANZHEN DISTRICT, KAOHSIUNG CITY, CHINA, REPUBLIC OF (TAIWAN)",TWN
416004624,DEYI16,8780606,BJ5119,drifting_longlines,TWN,23.9,99.61,701.24,8451.95,5824.25,4082.73,3056.25,KUO MING CHENG,"NO.7-26, ZHENHAI RD., DONGGANG TOWNSHIP, PINGTUNG COUNTY 928, TAIWAN (R.O.C.)",TWN
431600220,KIFUKUMARU51,9115652,JM6090,drifting_longlines,JPN,31.25,224,559.84,7579.94,4358.37,3461.72,2434.69,KIFUKU SUISAN,"4677-1 OAZA NAKAMURA,OTSU,NANGO-CHO,MINAMINAKA-GUN.MIYAZKI,JAPAN",JPN
416316000,HUNGJUNG68,NA,BH3296,drifting_longlines,TWN,53.15,489,723.65,6653.56,2855.6,2546.16,1450.04,HONG LONG FISHERIES,"36F.-2, NO.11, XINGUANG RD., QIANZHEN DIST., KAOHSIUNG CITY 806, TAIWAN",TWN
412420279,RUNDA602,8777245,BZ3VB,squid_jigger,CHN,42.55,482,642.01,8422.59,2528.44,7710.45,2528.44,ZHOUSHAN RUN DA OCEAN FISH,"ROOM 804, 139, DONGHE LU, SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
440964000,SEOLIM302,7417757,6MPQ,squid_jigger,KOR,52.87,449.91,992,4836.34,1408.67,3438.27,1034.56,SEO LIM FISHERIES,"ROOM 502, 35, NAMPO-DONG 1-GA, JUNG-GU, BUSAN, 600-041, SOUTH KOREA.",KOR
510047000,YMPSEAGULL,NA,NA,tuna_purse_seines,FSM,61.42,1427.77,2957.15,1774.8,233.19,877.78,220.53,NA,NA,NA
416004158,YIMAN8,8788878,BJ5041,drifting_longlines,TWN,22.16,97.21,521.88,6148.27,4151.33,711.99,329.86,CHEN CHIA CHENG,"NO.109, GAOPING 23RD RD., XIAOGANG DIST., KAOHSIUNG CITY 81278, TAIWAN (R.O.C.)",TWN
431501883,SEIJYUMRU21,NA,NA,drifting_longlines,JPN,25.89,158.11,599.23,4905.8,2599.86,3272.19,2305,NA,NA,NA
664632000,CHUNI318,8996267,S7OC,drifting_longlines,SYC,59.2,625,1473.86,3855.03,1403.87,1472.9,788.3,YOW SHING FISHERIES,"C/O A. C. T. OFFSHORE LIMITED, 1ST FLOOR OLIAJI TRADE CENTRE, FRANCIS RACHEL STREET, P. O. BOX 1377, VICTORIA, MAHÉ, REPUBLIC OF SEYCHELLES",SYC
416002896,JINMAANFA66,NA,BJ4915,drifting_longlines,TWN,26.1,79.11,559.5,5787.67,3681.17,5150.33,3668.83,HUANG MEI HUA,"NO.32,MUNSHENG RD.,SU-AO TOWNSHIP, YILAN COUNTY 270, TAIWAN",TWN
412328758,ZHONGSHUI737,9686106,BZTK4,drifting_longlines,CHN,37.09,270,550,8443.12,3141.69,635.36,206.69,CNFC OVERSEAS FISHERIES,"31, MINFENG LANE, XIDAN, BEIJING, CHINA",CHN
416001225,CYUANFASHENG226,NA,BJ3811,drifting_longlines,TWN,27.9,99,559.5,6923.93,4556.04,5712.56,4555.23,GUO WEN WEI,"11F.-1, NO.80, 41TH NEIGHBORHOOD, HOUPING RD., QIANZHEN DIST., KAOHSIUNG CITY 806, TAIWAN (R.O.C.)",TWN
262626000,262626000,NA,NA,drifting_longlines,MNE,36.18,46.17,462.85,1994.05,1178.19,1908.77,1166.46,NA,NA,NA
273297700,KAPITANGORBACHEV,8908131,UAWH,trawlers,RUS,120.7,7765,5296,8736.08,4327.61,2622.2,2218.89,ARKHANGELSK TRAWL FLEET,"RUSSIA, 163030 ARKHANGELSK, LENINGRADSKIY PR., D. 324",RUS
267300013,CT4267313,NA,NA,drifting_longlines,SVK,29.53,129.01,515.85,3884,2882.21,3237.71,2801.85,NA,NA,NA
416219700,MINGMAANSHYANG86,8777805,BJ4965,drifting_longlines,TWN,29.88,98,746,7526.74,6002.22,6903.6,5997.32,HUNG H S,"NO.25, LN. 1, HEPING RD., LIOUCIOU TOWNSHIP, PINGTUNG COUNTY 92942, TAIWAN",TWN
